Dialogue/3260B23F41443570801134BADE554CF8_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/6AC1591B41D562FD332393AB018B22DC_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/8462544548C4658BC35734801C77A715_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/91AD280744E103EC8A0A7C8D6CAA4785_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/D0E2AED94E672E5B5AE436B3F52A5E3B_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/D3CCBD0D42A962E7F93143937E9E2440_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/5C4ABC0D4E75FFF7E42C3BBBA14AE4A0_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/73C39FDC4F88F483EB9BA5A6F1DB28AB_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/BDD54ACE46C2DA7C17B65FBBDFC003F5_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/DB7B292C4A950CFC946E8DABB6AEEC7B_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/E24F4C4F4D5264C76ECF52BCA8E3DDED_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/ED67589B413C63716D26F4A157562922_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/F7EC12A54C98ED311583C3B9A10AA343_EF8738C000000000	(Medium breathing)	(적당한 호흡)
Dialogue/1F7810FF447DEF59A0485DAF13D3EBD5_F2E10BE100000000	(Pain)	(고통)
Dialogue/2CB0BC3F4A79D3761D4544BC0CF3630B_F2E10BE100000000	(Pain)	(고통)
Dialogue/3FB12CD044472253830CFA98AD71CCF2_F2E10BE100000000	(Pain)	(고통)
Dialogue/47A6A19B4D467052FD8FF999AACE22E5_F2E10BE100000000	(Pain)	(고통)
Dialogue/591E1E42480F988F6FA9908B1A2E5EB4_F2E10BE100000000	(Pain)	(고통)
Dialogue/5B0302C24ACF3074B664A1AF634BC269_F2E10BE100000000	(Pain)	(고통)
Dialogue/655D220E450E0D68BF363BAA4B9B3E6F_F2E10BE100000000	(Pain)	(고통)
Dialogue/A130F7284D9B20DA7B254689BA34508D_F2E10BE100000000	(Pain)	(고통)
Dialogue/1404796A4DE7F8DE0A9F0C8A3C6BBE4D_5FC0510D00000000	(Panicked breathing)	(겁에 질린 호흡)
Dialogue/2A7C9F24455D8212EBFC769468E8D903_5FC0510D00000000	(Panicked breathing)	(겁에 질린 호흡)
Dialogue/ADCAE0E9478AC2130C0AB2BE8CF33529_5FC0510D00000000	(Panicked breathing)	(겁에 질린 호흡)
Dialogue/094BE90845101369E55ECF99B76AA827_EF8738C000000000	(Scream)	(비명)
Dialogue/2CA99F5A4CC4E6E7AEC6EB992961E9AA_EF8738C000000000	(Scream)	(비명)
Dialogue/2D1FAAA14B304A7E8BF3AEB408C407A9_EF8738C000000000	(Scream)	(비명)
Dialogue/455C569745631788DB5123BDD8CCA6C1_F2E10BE100000000	(Scream)	(비명)
Dialogue/498109D944AE81F8E8450987874F08DD_EF8738C000000000	(Scream)	(비명)
Dialogue/673F8B0C41732B851144D5A2BD7821D8_D73DE1F100000000	(Scream)	(비명)
Dialogue/699863464C5A0AD4E7F0519357FB4500_EF8738C000000000	(Scream)	(비명)
Dialogue/790A91E748D93D783683AAAE795ADCCE_EF8738C000000000	(Scream)	(비명)
Dialogue/79E2996C45FD48A212048DAE3540AED1_F2E10BE100000000	(Scream)	(비명)
Dialogue/9A44B91C42658D4E65995FA7D8F216E8_EF8738C000000000	(Scream)	(비명)
Dialogue/9A8F3AE548BEF421826728B90C0634FA_EF8738C000000000	(Scream)	(비명)
Dialogue/9D7B98B749A02587044027A36B2E6F5F_EF8738C000000000	(Scream)	(비명)
Dialogue/9FACAF714845B29FB8CB7E88064131EF_F2E10BE100000000	(Scream)	(비명)
Dialogue/A0A9CD7C4BDB99AEBEA311840852F246_EF8738C000000000	(Scream)	(비명)
Dialogue/A0FA6C1F4199568702BAD288BDD9BD3A_EF8738C000000000	(Scream)	(비명)
Dialogue/A58879844E98840CC970178A4EC7FEF5_F2E10BE100000000	(Scream)	(비명)
Dialogue/B3F55FF1426BAFB187ECF2A9D8964C5F_EF8738C000000000	(Scream)	(비명)
Dialogue/B706B08E48164346C2C5378F239F2747_F2E10BE100000000	(Scream)	(비명)
Dialogue/BE17226D4E2E7B6B1810BFA6FAB508CB_D73DE1F100000000	(Scream)	(비명)
Dialogue/CB3823394A2DE1B60D01CA888388A4D5_D73DE1F100000000	(Scream)	(비명)
Dialogue/CEB5BFF34D7B0742C446359888DA155A_F2E10BE100000000	(Scream)	(비명)
Dialogue/DA2309164D630600968E069811A0F8A4_EF8738C000000000	(Scream)	(비명)
Dialogue/E24C38A74A19D6DD0E8FC1889DB148B5_EF8738C000000000	(Scream)	(비명)
Dialogue/F5186D5B48F8EFF28B7D06801533D409_D73DE1F100000000	(Scream)	(비명)
Dialogue/FC8968654DE5E7526D9255AFAEA8AF54_EF8738C000000000	(Scream)	(비명)
Dialogue/04A40CA2435CC5680E8B208A662D0D6A_EF8738C000000000	(Sigh)	(한숨)
Dialogue/08398C70483799832AA275AA284959A7_EF8738C000000000	(Sigh)	(한숨)
Dialogue/0848FE3D46DAA091810D75BEC2320979_EF8738C000000000	(Sigh)	(한숨)
Dialogue/0E1411C148FC2706FAE05DA7C3A793F8_EF8738C000000000	(Sigh)	(한숨)
Dialogue/158DEEE34937BC989B7066B32B5E62C6_EF8738C000000000	(Sigh)	(한숨)
Dialogue/2540BB8F41540F12E4E4C88E0A1894C9_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/271B124145E4C9E554591093D4BD4121_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/29B43F8C4A332E2CEC736B96C3573000_EF8738C000000000	(Sigh)	(한숨)
Dialogue/2C15D0C440C084AB20E194884253BF73_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/2F2A623C4351B044E9B0689C879D13F6_EF8738C000000000	(Sigh)	(한숨)
Dialogue/36A5D74A448BE08B15732998871D37A3_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/3AED67244AEAA687BC42C6A2B03A1ED6_EF8738C000000000	(Sigh)	(한숨)
Dialogue/48EBD8614BEB275292EB46B3AC9D9E1C_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/4E1DE3064A94B5B8FB3111B75BC4BC79_EF8738C000000000	(Sigh)	(한숨)
Dialogue/5880A10043DB5713F4A9D3AE24408216_EF8738C000000000	(Sigh)	(한숨)
Dialogue/6A9276DC4071F08A975EA58A089D72E6_EF8738C000000000	(Sigh)	(한숨)
Dialogue/6FEE20C345EDCE2EC6AA93B3E1CAE3B4_EF8738C000000000	(Sigh)	(한숨)
Dialogue/75964A9C4B600AE47284FE90040BE6A5_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/88B492A54125BB1213085690375DE2A2_EF8738C000000000	(Sigh)	(한숨)
Dialogue/8CB978E249C7362478B57998DA98F64D_EF8738C000000000	(Sigh)	(한숨)
Dialogue/90A1CEEC4F9E46C784F52395EF0EB29B_EF8738C000000000	(Sigh)	(한숨)
Dialogue/92CAF3724518350732F9839B62000B36_EF8738C000000000	(Sigh)	(한숨)
Dialogue/9D1CD78B4F94F5A33C2CF38023B047EE_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/ADF4304D44C8D7F7F1028BA56FEEDC57_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/B4FE0F5640D426CC97F1929663E899FC_EF8738C000000000	(Sigh)	(한숨)
Dialogue/B70368204ED48DA68A512497029DCC13_F2E10BE100000000	(Sigh)	(한숨)
Dialogue/F7DCF2BB413CD7C80EAD4985523FD4E7_EF8738C000000000	(Sigh)	(한숨)
Dialogue/A7FB2F5849A521EB3B454E94C4A4D743_EF8738C000000000	(Sigh) Better than nothing, I suppose	(한숨을 쉬며) 없는 것 보단 낫겠지.
Dialogue/4C73B38143C768B28301489578D1D74B_EF8738C000000000	(Sigh) I'm exhausted.	(한숨을 쉬며) 너무 지쳐.
Dialogue/02B4AA9F4F3A2459F05DE7858129B9F1_EF8738C000000000	(Stop)	(멈춤)
Dialogue/4725753D4D3199E76AE4009933775F9B_EF8738C000000000	(Stop)	(멈춤)
Dialogue/06841C10486602B1D835EA9267FB98B3_EF8738C000000000	(Vomit)	(구토)
Dialogue/078E895443ADE041805EA38C3F3EEF05_F2E10BE100000000	(Vomit)	(구토)
Dialogue/09AC73884D7169C52371BB874FD9C72F_EF8738C000000000	(Vomit)	(구토)
Dialogue/2A8E59774DDFCDE82DFBDC9DC36F55EB_F2E10BE100000000	(Vomit)	(구토)
Dialogue/36380E6D4F511507690697BE97FCEC2F_F2E10BE100000000	(Vomit)	(구토)
Dialogue/38FE15D4427254635A87A38D6A12D620_F2E10BE100000000	(Vomit)	(구토)
Dialogue/43954F3C4575BDCE2F832FBE6888010D_F2E10BE100000000	(Vomit)	(구토)
Dialogue/74D69A9D40F51E76B0628191D086AF57_F2E10BE100000000	(Vomit)	(구토)
Dialogue/92D4F2CF4562A1D1EED0DC9FBD4448A7_EF8738C000000000	(Vomit)	(구토)
Dialogue/978E074C40A5E5659E022488046554B2_EF8738C000000000	(Vomit)	(구토)
Dialogue/B17DE8C54DFACD7A38BC0FBDCA6B457E_EF8738C000000000	(Vomit)	(구토)
Dialogue/CAE1A414415A383F429FF1804208023E_EF8738C000000000	(Vomit)	(구토)
Dialogue/139D957947B3B9FAB170E2A8536AAC8F_EF8738C000000000	(Yawn)	(하품)
Dialogue/382BFDBE4A89F89A18FFAF9F12DAB07F_EF8738C000000000	(Yawn)	(하품)
Dialogue/3DA94B464FFF6B5FDD29E9B6F4C3CDD9_EF8738C000000000	(Yawn)	(하품)
Dialogue/541F3D3D44E6E8CD52DAB0B4C72EB98C_F2E10BE100000000	(Yawn)	(하품)
Dialogue/5BAF6ACB4289EEE7718439838D6705FB_F2E10BE100000000	(Yawn)	(하품)
Dialogue/9C894C3746625A71A3F4C29D75CD023F_EF8738C000000000	(Yawn)	(하품)
Dialogue/D808DB754A6A9816947A79976EBA48E5_EF8738C000000000	(Yawn)	(하품)
Dialogue/E2ADE6844F80125F5A52EA91B07A54EE_EF8738C000000000	(Yawn)	(하품)
Dialogue/E63EDEB34CFD1E71BDABFDBA386F3BF4_EF8738C000000000	(Yawn)	(하품)
Dialogue/EF76D1BA4C61E0D5B67130BF7A61FE2A_F2E10BE100000000	(Yawn)	(하품)
Dialogue/F8B560FA4C623984B6C387ADD248E02B_EF8738C000000000	(Yawn)	(하품)
Dialogue/121B7DAF4020E24972BD1DBB2A273930_EF8738C000000000	(Yell)	(고함)
Dialogue/2457FD5E40D60F83C6BABCABE92BCF15_F2E10BE100000000	(Yell)	(고함)
Dialogue/26C61E5C43134ED21132A190342DEF98_F2E10BE100000000	(Yell)	(고함)
Dialogue/3702D8AB4BEAAD3AB76804B68DEE7EF5_F2E10BE100000000	(Yell)	(고함)
Dialogue/421089284FB1C1E8A891088664528DBD_F2E10BE100000000	(Yell)	(고함)
Dialogue/4392DF9C47204A57705CDEA9C4024B16_F2E10BE100000000	(Yell)	(고함)
Dialogue/476A0DD048318971F894A099EEC9814F_EF8738C000000000	(Yell)	(고함)
Dialogue/48E468B244A15F88E5E6F788CFA7D4F7_F2E10BE100000000	(Yell)	(고함)
Dialogue/59AB388147BBC9A8158DEAB4711BDFDF_F2E10BE100000000	(Yell)	(고함)
Dialogue/5DC625AB47D6080F9C8BED90F2248019_EF8738C000000000	(Yell)	(고함)
Dialogue/6B3B60D94DC8B9CE5123DF9F789813D6_F2E10BE100000000	(Yell)	(고함)
Dialogue/7AA095534FEFE54F08B6328A531DA081_EF8738C000000000	(Yell)	(고함)
Dialogue/7AA8B455483C286C8F471BB02C170228_F2E10BE100000000	(Yell)	(고함)
Dialogue/909FB0E34B38F2944894829F0472CD93_EF8738C000000000	(Yell)	(고함)
Dialogue/94C7DD404A868E0A40F0E691D16DF4E0_F2E10BE100000000	(Yell)	(고함)
Dialogue/A8DD2D2B4BE7F7E179D62FA8408A7EDF_F2E10BE100000000	(Yell)	(고함)
Dialogue/B3288370417FEB36CC990B8EC85C89C5_F2E10BE100000000	(Yell)	(고함)
Dialogue/B718BD034511A590F80532B6D8CE6194_F2E10BE100000000	(Yell)	(고함)
Dialogue/CDB186244BE7AB2B18E63CAFA6E13B3D_EF8738C000000000	(Yell)	(고함)
Dialogue/CE9D43424DD237EB088D559357FB1468_F2E10BE100000000	(Yell)	(고함)
Dialogue/DA452E9546ABB48FEAD0D5A60614AFB8_F2E10BE100000000	(Yell)	(고함)
Dialogue/ED376D15439AB56DB0552BAF5D53FA99_F2E10BE100000000	(Yell)	(고함)
Dialogue/F19A47C146678C31F8009B938D9BAB53_EF8738C000000000	(growl) Is that my stomach?	(꼬르륵) 내 배에서 나는 소리야?
Dialogue/785F865442AF760D27CBAD98335DE188_0630D2E000000000	(hissed) Don't make any noise!	(낮은 목소리로) 아무 소리도 내지 마!
Dialogue/7DFA275543E15CF59A0F32A5BFA14B8F_F2E10BE100000000	(lipsmacks) A sip of water would suffice.	(침소리를 내며) 물 한 방울만 마셔도 소원이 없겠어.
Dialogue/0268944248E464C206B4BAA1EC516E38_F2E10BE100000000	(lipsmacks) Ahh, getting thirsty...	(침소리를 내며) 아... 목 말라.
Dialogue/315C072C4930F6E68DF4CBA2269627E3_F2E10BE100000000	(lipsmacks) I could certainly use a drink.	(침소리를 내며) 당장 뭐라도 좀 마시고 싶어.
Dialogue/1B51C7DA4E8E41629385A188A241138A_EF8738C000000000	(lipsmacks) I'm a little thirsty	(침소리를 내며) 조금 목 마르네
Dialogue/160DB3F14DE485AFCCE886B4FB75923B_EF8738C000000000	(lipsmacks) Some water would be good	(침소리를 내며) 물 좀 마시면 좋을 거 같아
Dialogue/57F8EF124DEFD6FD03F9DD8550845C91_EF8738C000000000	(lipsmacks) When did I last drink something?	(침소리를 내며) 마지막으로 뭔가를 마신 게 언제지?
Dialogue/3179EDC54EDFAA5E6FACE4BA4FA194A6_F2E10BE100000000	(teeth chattering) Brrrrrrrr	(이를 딱딱거리며) 덜덜덜덜덜
Dialogue/4D60C78E4E322553A821C483B8243846_F2E10BE100000000	(teeth chattering) Brrrrrrrr	(이를 딱딱거리며) 덜덜덜덜덜
Dialogue/4FCF9E2A471D5EE4735F52A2C83C9B7E_F2E10BE100000000	(teeth chattering) Brrrrrrrr	(이를 딱딱거리며) 덜덜덜덜덜
Dialogue/A496E6224EDFEA51BF429CA97E7527D5_F2E10BE100000000	(teeth chattering) Brrrrrrrr	(이를 딱딱거리며) 덜덜덜덜덜
Dialogue/D50E2ED145DF0C1ED43899B822B77CE6_F2E10BE100000000	(teeth chattering) Brrrrrrrr	(이를 딱딱거리며) 덜덜덜덜덜
Dialogue/4427E8E3439B7899D2A4B2B91182AE49_F2E10BE100000000	(yawn) Could use a short nap.	(하품하며) 조금 자야 할지도...
Dialogue/0C5CFA484CECC2764876A8A5C26BD8CF_F2E10BE100000000	(yawn) Hm... I'm tired.	(하품하며) 흠... 피곤해.
Dialogue/EDCEB8BF4923FA37E38557BE00F1AE52_F2E10BE100000000	(yawn) HmM.	(하품하며) 흐음.
Dialogue/E2478404406BEFC0B5E7FA9DA1E4CFF8_EF8738C000000000	(yawn) Hmmm... sleepy.	(하품하며) 흐으음... 졸려.
Dialogue/76A7A7684F6A6F88DE2C6DBE2EC07917_EF8738C000000000	(yawn) I need a lie down.	(하품하며) 누워야겠어.
Dialogue/D6D16E844C1A23E82D074E9912D2EE30_48BE869F00000000	...	...
Dialogue/6712527043087C4D22128DACDB8E0934_F5807AEF00000000	139 has been perhaps the most difficult IS to study so far. [5.25]We first thought it was simply refracting light through its crystalline form, [9.77]but now we're not so sure. [11.96]It appears shrouded by some kind of aura that renders it almost entirely transparent to visible light. [18.69]The creature moves at incredible speed, so catching one for study will be... challenging. [25.55]Obviously, I have left Dr. Stern in charge of the investigation.	어쩌면 139는 지금까지 연구해 온 IS들 중 가장 어려운 것일지도 모른다. [5.25]처음에 우리는 단순히 크리스탈 결정체가 빛을 굴절 시키는 것이라 생각했는데, [9.77]지금은 그 누구도 확신하지 못 한다. [11.96]해당 IS는 알 수 없는 종류의 아우라를 통해 가시광선 영역에서 완전히 모습을 감춘다. [18.69]또한 너무나 빠른 속도로 움직이기 때문에... 포획하여 연구하는 것도 쉽지 않다. [25.55]말할 것도 없이, 스턴 박사를 연구 담당자로 임명했다.
Dialogue/C27B88C24FA871C3358F09BECC50B196_F2E10BE100000000	A bit nippy in here, wouldn't you say?	살짝 쌀쌀하지 않니? 나만 그래?
Dialogue/741C5FF042F13674F53207B3BD40BC4F_28A5EA9400000000	A friendly face!	반가운 얼굴이네!
Dialogue/312F4AF847BF442D0FD92ABD30ABD3FE_EF8738C000000000	A lavatory, I need one.	화장실 가고 싶어.
Dialogue/F7F9AA7E4813038C8A6C3ABF36D0284C_F2E10BE100000000	A little brisk in here.	여기 살짝 춥네.
Dialogue/D813047941C0A56364B7888FE10B8CF4_EF8738C000000000	A little uncanny.	좀 으스스해.
Dialogue/E7931BA24FBD82E9B61E3BB9A4373788_F5807AEF00000000	A microscopic entity in its home anteverse, IS-121 is a staggering titan in our own. [7.63]How the Gatekeepers managed to secure not one, but two of these behemoths is quite frankly beyond me. [15.37]I suspect it is best not to ask. [18.33]They are a necessary force ... confronting nightmares and returning with them in chains, [25.82]... 121. An incredible specimen. [29.86]Our research continues.	이들의 안테버스에서는 작은 개체로 인식되는 IS-121은, 우리가 보기에는 매우 큰 거인이다. [7.63]게이트키퍼가 저 베헤모스를 한 마리도 아니고 두 마리나 확보했다는 사실은, 솔직히 내 상식을 초월한다. [15.37]아무래도 그 방법은 물어보지 않는 편이 나을 것 같다. [18.33]IS-121은 악몽을 직면하고, 그것들을 사슬로 옭아메어 데려오는 데에 꼭 필요한 힘이다. [25.82]... 121은 매우 놀라운 표본임에 틀림 없다. [29.86]연구는 계속된다.
Dialogue/60CB4AE9488C0F1935370F9F68462B41_09B430A600000000	Abe! This isn't the time for tourism.[2.88]Even if the submarine wasn't a complete wreck,[5.48]you have no idea how to drive it![8.4]Or where to go![9.65]And neither does anyone else who's still alive down here![12.5]Can we just focus on getting out of here, please?!	에이브! 여행이나 할 때가 아니에요.[2.88]잠수함이 완전히 박살 나지 않았다 하더라도,[5.48]조종하는 법도 모르잖아요![8.4]어딜 가야 하는지도요![9.65]여기 아직 살아있는 사람들 모두 마찬가지예요![12.5]제발 여기서 탈출하는 일에만 집중하면 안 될까요?! 제발요.
Dialogue/AC4CB7AB437991F7C38A6E9A7B5A2699_09B430A600000000	Abe, don't even think about it.	절대 안 돼요, 에이브.
Dialogue/79C0B8E344FE9F9A3A09519B91FAD359_09B430A600000000	Abe, please, pull yourself together.	에이브, 정신 차려요.
Dialogue/129643604178318767081A8813F5F1CE_09B430A600000000	Abe, this submarine isn't going anywhere.	에이브, 이 잠수함은 아무 데도 갈 수 없어요.
Dialogue/03A132B94701A5A91A599CB82F85671D_09B430A600000000	Abe, you've done incredible things.[2.65]Don't talk that way.[4.33]And I wish I'd known this was going to happen.[6.5]Now I'll never get the chance to tell Thule what I think of him.	에이브, 대단한 일들을 해오셨잖아요.[2.65]그런 말 하지 마세요.[4.33]이렇게 될 줄 알았더라면 좋았을 텐데.[6.5]툴 박사한테 할 말이 많았는데 말이죠.
