AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	18834	OrderCaptain_Sections_Index0_SectionText	Legates of the Order achieve their command through a mixture of zealotry, combat victories, and sheer survival.\r\n\r\nAlthough the Order conducts extensive intelligence gathering in advance of any operation, a Legate’s role frequently involves leadership under unexpected, if not extraordinary conditions. As such, those who earn the role are trusted with a high degree of operational independence.	교단의 레가투스들은 열정, 승리, 그리고 순수한 생존의 조합을 통해 지휘를 완수한다.\r\n\r\n교단은 모든 작전에 앞서 광범위한 정보 수집을 시행하지만, 예상치 못 하거나 특수한 상황에서 레가투스는 그 역할을 수행한다. 따라서, 이들은 작전에서 높은 수준의 독립성을 보장받는다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	19726	OrderCaptain_Sections_Index1_SectionText	Legates are among the Order's most fervent believers, and sometimes called 'Perfecti', in acknowledgement of their Cathar-derived traditions.	레가투스들은 교단의 열렬한 신자 중 하나이며, 카타리파에서 유래한 전통을 바탕으로 종종 '퍼펙티(Perfecti)' 라고 불리기도 한다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	19988	LabRat_Title	Order: Inquisitor	교단: 인퀴지터
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	20053	LabRat_Subtitle	Lab Rat	실험쥐
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	20160	LabRat_Sections_Index0_SectionText	Charged with the noble but corrupting task of assessing the anomalies and aberrations seized by their organization from its enemies, Inquisitors are one of the most essential yet mistrusted elements of the Order's ancient apparatus.	인퀴지터는 조직의 적들로부터 압수한 이상 현상물과 변이를 평가하는, 고귀하지만 타락하기 쉬운 임무를 담당한다. 이들은 교단 내의 핵심적이지만, 신뢰받지는 못하는 부품이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	20487	LabRat_Sections_Index1_SectionText	The Inquisitors are driven by a relentless curiosity in their service of The Order. They are tolerated, but not beloved, and only by fiat of the Praetors are they permitted such leniency and command.\r\n\r\nWhile their methods do not always sit comfortably with the tenets of their ancient fraternity, these researchers - largely - direct their study towards the greater good of their brethren, even if it means trampling a few lesser regulations along the way.	인퀴지터는 교단에 대한 끊임없는 호기심을 동력으로 봉사한다. 이들은 교단 내에서 용인되는 존재들이지만, 사랑받지는 못하며, 오직 집정관들의 명령으로만 그러한 관용과 권한이 허락된다.\r\n\r\n인퀴지터의 방식이 고대부터 내려오는 형제들의 신조와 항상 일치하는 것은 아니지만, 이 연구자들은 대체로 형제들을 위한 방향으로 연구를 이끌어 나간다. 그 과정에서 사소한 규정을 어기는 한이 있더라도 말이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	21067	Breacher_Title	Order: Exulum	교단: 엑슐룸
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	21130	Breacher_Subtitle	Breacher	돌격병
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	21240	Breacher_Sections_Index0_SectionText	Held in disdain by their bretheren for lapses of honor or, worse, spiritual failing, the Exulum are forced into the role of shock troops as penance.\r\n\r\nTheir barred helmets represent their position as pariahs, forced to take the frontline until they have redeemed themselves in battle. Their ferocity reflects a faith that admits no further failure.	엑슐룸은 명예의 결함, 또는 그보다 더한, 영성을 저버렸다는 이유로 형제들에게 경멸을 받는다. 따라서 속죄의 대가로 돌격병으로서의 역할을 강요받고 있다.\r\n\r\n창살처럼 생긴 헬멧은 최전방에서 구원을 찾도록 강요된 추방자로서의 위치를 상징한다. 이들의 흉포함은 더 이상의 실패를 용납하지 않는 신앙심을 대표한다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	21710	Sniper_Title	Order: Sagittarii	교단: 사지타리
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	21775	Sniper_Subtitle	Sniper	저격수
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	21881	Sniper_Sections_Index0_SectionText	Tracing the lineage of their discipline to Roman archery schools in Parthia of the 2nd Century BCE, the Sagittari are the ultra-clandestine core of an already secretive sect. 	사지타리의 훈련 계보는 기원전 2세기 파르티아의 로마 궁술 학교까지 거슬러 올라가며, 그들은 이미 비밀스러운 교단에서도, 극비 핵심 전력이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	22178	Sapper_Title	Order: Saboter	교단: 사보타주
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	22240	Sapper_Subtitle	Sapper	공병
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	22346	Sapper_Sections_Index0_SectionText	The Saboter of the Order are often sent alongside heavy troopers to destroy infrastructure.\r\n\r\nTheir lineage goes back to - and beyond - the siege of Constantinople, where they undermined the walls of palaces and other fortifications to break prolonged sieges.\r\n\r\nWhile some Saboter are volunteers, many are initially placed in this role as a punishment for Inquisitorial failings. Others see it as a pivotal role in bringing down the very structures that support the pomposity of man.	교단의 사보타주는 보통 중보병과 함께 투입되어 구조물을 파괴하는 임무를 맡는다.\r\n\r\n이들의 계보는 콘스탄티노플의 공성전 혹은 그 이전까지 거슬러 올라가며, 대치가 길어지는 경우, 궁전과 요새의 성벽을 무너뜨리는 역할을 했다.\r\n\r\n사보타주는 자원자로 이루어지기도 하지만, 대개 심문관으로서의 실패에 대한 처벌로 주어지는 역할이다. 다른 이들은 이 역할을 인간의 오만을 담은 건축물을 부수는, 핵심적인 역할이라고 생각한다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	22950	Rook_Title	Order: Opprimo	교단: 오프리모
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	23011	Rook_Subtitle	Rook	룩(까마귀)
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	23113	Rook_Sections_Index0_SectionText	Among the most savage Order infantry, the Opprimo eschew ranged weapons for close quarter combat. Their creed holds that, like spiritual knowledge itself, the intimacy of combat demands an unmediated encounter with the enemy. Sharing blood is a sacred act.\r\n\r\nThey are often deployed for specialist engagements, frequently taking on the guise of other paramilitaries for infiltration missions.	잔인한 교단의 보병 중에서도, 오프리모는 원거리 무기를 지양하고, 근접 전투를 선호한다. 그들의 신조는 영적인 지식과 마찬가지로, 전투의 긴밀함을 위해 적과 직접적으로 대면하는 것이다. 피를 나누는 것은 신성한 행위로 여겨진다.\r\n\r\n이들은 종종 특수 임무에 배치되며, 침투 작전을 위해 다른 군사 조직의 모습을 취하기도 한다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	23629	Pillager_Title	Canaanite	낙원가
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	23688	Pillager_Subtitle	Follower of the Path of Petrae	페트라의 길 추종자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	23820	Pillager_Sections_Index0_SectionText	Simple folk from sundry backgrounds, the locals of Canaan regard themselves as having adopted plain, pious lives far from the clamor and corruption of the wider world - hitherto unknown.\r\n\r\nIn reality, they follow their preacher Niketas blindly, accepting his edicts as 'the Path of Petrae'.\r\n\r\nHostile to any and all outsiders, the Canaanites see the works of 'the Enemy' everywhere, and one may be deemed a witch without even being aware. Indeed, the world, in their eyes, is one vast machine of deception, and anyone not 'of the Path' is - by definition - a tool of evil.\r\n\r\nIt would seem their diet, based heavily on a rather corrupted corn strain, has not helped with their critical thinking.	다양한 배경 출신의 평범한 사람들인 낙원의 주민들은, 자신들이 이제껏 알려지지 않은 채 넓은 세계의 소란과 타락에서 떨어져 소박하고 경건하게 살아간다고 생각한다.\r\n\r\n하지만 실제로는 전도사 니키타스를 맹목적으로 따르며 그의 가르침을 '페트라의 길'이라 받아들인다.\r\n\r\n모든 외부인에게 적대적이며 낙원가들은 어디에서나 '적'의 손길이 뻗쳤다 생각하기에, 외지인들은 본인도 모르는 사이 마녀로 몰려버린다. 그들의 눈에 세상은 거대한 거짓말 기계이며 '페트라의 길'을 따르지 않는 자는 그 누구도 악이다.\r\n\r\n그들의 식단은 오염된 옥수수 품종에 크게 의존하는데, 비판적 사고 능력에 부정적인 영향을 끼친 것으로 보인다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	24643	GKChieftain_Title	The Spear	창
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	24705	GKChieftain_Subtitle	Gatekeeper Chieftain	게이트키퍼 족장
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	24830	GKChieftain_Sections_Index0_SectionText	The Chieftain rank is achieved by Gatekeepers who have proven their ability to lead in the field.\r\n\r\nGatekeepers who have ‘crossed the abyss’, Chieftains are promoted after passing three ‘Gateways’. While the Gatekeepers are circumspect about the specifics of this test, it is understood that Chieftains themselves select the three core components.	족장의 지위는 현장에서 지휘력을 입증한 게이트키퍼에게 주어진다.\r\n\r\n'심연을 건넌' 게이트키퍼로서, 세 개의 '포탈'을 통과한 후에 족장의 지위로 승격된다. 게이트키퍼는 이 시험의 구체적인 내용에 대해 말을 아끼지만, 족장들이 직접 이 세 가지 핵심 요소를 선택하는 것으로 알려져 있다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	25638	GKChieftain_KillRequirementSection_SectionText	The Chieftain rank is achieved by Phyters who have proven their ability in the field and within the secretive conclaves of the Gatekeepers themselves.\r\n\r\nSeers who have ‘crossed the abyss’, Chieftains are promoted after passing three ‘Gateways’. While the Gatekeepers are circumspect about the specifics of this test, it is understood that Chieftains themselves select the three core components.	족장의 지위는 현장에서뿐만 아니라 게이트키퍼의 은밀한 선별 과정에서 능력을 입증한 입문자들에게 주어진다.\r\n\r\n'심연을 건넌' 예지자로서, 세 개의 '포탈'을 통과한 후에 족장의 지위로 승격된다. 게이트키퍼는 시험의 구체적인 내용에 대해 말을 아끼지만, 족장들이 직접 이 세 가지 핵심 요소를 선택하는 것으로 알려져 있다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	26513	GKPhyter_Title	The Tested	시험에 드는 자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	26573	GKPhyter_Subtitle	Gatekeeper Neophyte	게이트키퍼 입문자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	26694	GKPhyter_Sections_Index0_SectionText	Neophytes are entry-level Gatekeepers, relatively recent initiates to the organization.\r\n\r\nThe moniker 'Phyter' is a shortened, derogatory term for newer Gatekeepers who have yet to earn a distinct specialization. Most recruits embrace it for the many years - sometimes decades - that it takes to specialize in the wilder ways of our many worlds.	입문자는 조직에 입단한 지 얼마 되지 않은 초급 게이트키퍼다.\r\n\r\n짧게 부르는 '초짜'라는 별칭은 뚜렷한 전문 분야를 가지지 못한 신참 게이트키퍼를 부르는 멸칭이다. 여러 세계의 거친 모습에 전문화되기까지 수년, 때로는 수십 년이 걸리기도 하므로, 입문자는 이러한 별칭 또한 자연스레 받아들이게 된다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	27137	GKPhyter_Sections_Index1_SectionText	There is no single place that Neophytes are drawn from. Military hospitals, special forces drop outs, special forces retirees, prisons, private military contractors, even seminaries and the occasional psych ward, by Assessors with an eye for anyone ‘attuned to the unseen’.\r\n\r\nIn essence, all recruits are unstable, and GATE is the stabilizing compound. The aim of all Neophyte training is to create a living weapon who enjoys staring down an anomalous entity while making bets on who flinches first.	입문자는 다양한 곳에서 모집된다. 군 병원, 특수부대 낙오자, 특수부대 퇴역자, 교도소, 민간 군사 업체, 심지어 신학교와 정신병동에서도 '보이지 않는 것과 교감하는' 사람들이 감정 전문 군사 외주업자들의 눈에 띄어 모집된다.\r\n\r\n본질적으로, 모든 신입들은 불안정한 상태이며, GATE가 이들은 안정시키는 용매가 된다. 입문자 훈련의 목표는 변칙적인 현상과 마주하면서 누가 먼저 겁먹는지 내기할 줄 아는 살아있는 무기를 만드는 것이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	28257	GKHeavy_Title	The Bulwark	수호자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	28317	GKHeavy_Subtitle	Gatekeeper Jotun	게이트키퍼 요툰
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	28434	GKHeavy_Sections_Index0_SectionText	Given the panoply of traditions that Gatekeepers draw from, the origin of ‘Jotun’ title remains unspecified. Regardless, the title lends its name to both this echelon of Gatekeeper and the clandestine bio-enhancement program run by Synaptic Labs that produces these living titans.	게이트키퍼는 다양한 전통을 따르므로, '요툰'이라는 칭호의 기원 또한 명확하지 않다. 그럼에도 이 명칭은 게이트키퍼의 특정 지위와 시냅스 연구소에서 운영하는 살아있는 거인들을 만들어내는 비밀 생체 강화 프로그램 모두에 쓰이고 있다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	29102	GKHeavy_KillRequirementSection_SectionText	First to utilize the hyper-generative biomaterials recovered from Anteverse 42, the Jotun were developed after GATE ran a series of experiments designed to ‘productively enhance’ human size and strength.\r\n\r\nAfter some brief entity testing, they proceeded rapidly towards attempting the procedures on the largest Neophyte volunteers. The treatment program was traumatic, but it swiftly became obvious that certain individuals possessed specific growth factors that often carried them safely through the transition in muscle mass, height and stamina.\r\n\r\nTo certain ways of thinking, the experiments are - and continue to be - a travesty. To Neophytes, eager to excel within Gatekeeper ranks, to assert their force on an immense and equally violent universe, it is an advantage they would give anything to achieve, even if it may be only for a shorter time.	요툰은 안테버스 42에서 회수한 초재생성 생체 물질을 최초로 활용한 존재다. GATE는 인간의 크기와 힘을 '생산적으로 증강'하기 위한 실험을 설계했으며, 그 뒤 요툰이 만들어졌다.\r\n\r\n몇 차례의 개체 실험 후, 즉시 신장이 큰 입문자들로부터 자원을 받아 시술을 시도했다. 이 과정은 가혹했으나, 특정 성장 인자를 지닌 일부 인원들이 근육량, 신장, 지구력 증가 과정을 무사히 견뎌낼 수 있음을 보여주었다.\r\n\r\n어떤 시각에서는 이러한 실험이 목적에 부합하지 않는 참혹한 일이라 여겨진다. 하지만 게이트키퍼의 지위 내에서 두각을 나타내고, 광활하고 잔혹한 우주에서 자신의 힘을 입증하고자 하는 입문자들에게 있어, 이 실험은 그들이 무엇이든 희생해서라도 얻고 싶은 기회였다. 비록 짧은 순간일지라도 말이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	30892	GKMage_Title	The Abyssal	심연에 있는 자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	30951	GKMage_Subtitle	Gatekeeper Mystagogue	게이트키퍼 밀교자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	31072	GKMage_Sections_Index0_SectionText	Those Gatekeepers who have delved most deeply into the arcane, Mystagogues typically come from backgrounds of direct or indirect communion with other-worldly or supernatural entities.\r\n\r\nThere is no single path for a Mystagogue: their ranks boast witch doctors, priestesses, brujos and shaman. As such, their relationship with the numinous or occult can take many forms. A common thread, however, is an unusual curiosity, even doubt about the true nature of their gods or divinities.	게이트키퍼 중에서도 신비학에 가장 심취한 이들을 밀교자라 부른다. 이들은 일반적으로 다른 세계 또는 초자연적인 존재와 직간접적인 교감을 경험한 이력을 가진다. \r\n\r\n밀교자가 되는 길은 하나로 정해져 있지 않다. 해당 지위는 주술사, 사제, 부르호, 그리고 샤먼이 뒤셖여 있다. 그만큼 이들이 신성이나 주술과 맺는 관계도 다양한 형태를 가진다. 하지만 밀교자들에게 공통된 점이 있다면, 신 혹은 신성한 존재의 본질에 대한 비범한 호기심과 의심일 것이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	31661	GKMage_KillRequirementSection_SectionText	More than one Mystagogue has come from West Africa, where magical traditions have converged with underworld existence to forge a violent, visionary recruitment pool. Others have emerged from the cohorts of so-called ‘alternative’ religions.\r\n\r\nGatekeeper Assessors also seek out individuals who display early aptitude with ‘mystic’ objects, including curators, smugglers, and treasure hunters. In rare cases, Mystagogues have even come from the ranks of science; those who see past the veil of ‘magic’ to the causal forces of other realms.\r\n\r\nBy the time their training is completed, the universe looks like a very different place, and few are the Mystagogues who retain their concern for something as fleeting or fragile as the individual.	적지 않은 수의 밀교자가 서아프리카 출신이다. 해당 지역의 주술적 전통이 음지의 생존 방식과 융합하여, 폭력적이면서도 예지적인 인재들을 양성하는 독특한 환경을 만들어왔기 때문이다. 그 밖에도 소위 '대안'종교 집단에서 밀교자가 배출되기도 한다.\r\n\r\n게이트키퍼 감정관들은 또한 '신비한' 물체에 조기 적성을 보이는 인물들을 찾아낸다. 큐레이터, 밀수업자, 보물 사냥꾼 등의 출신이 이에 속한다. 드물지만, 과학계 출신의 밀교자도 존재한다. 그들은 '마법'의 장막 너머에서 타세계의 인과적 힘을 꿰뚫어 본 자들이다.\r\n\r\n이들이 훈련을 마쳤을 때, 우주는 매우 다른 모습으로 다가온다. 그리고 그때쯤이면, 그들 중 개인이라는 덧없고 연약한 존재에 연연하는 이는 거의 남아 있지 않게 된다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	33224	GKWitch_Title	The Hexan	저주받은 자
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	33282	GKWitch_Subtitle	Gatekeeper Witch	게이트키퍼 마녀
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	33399	GKWitch_Sections_Index0_SectionText	Whether you think of them as witches, druids, magic-users, or any of the multitude of names and titles accrued over the millennia, Gatekeeper Witches are something else again. They are both seer and soldier - mystic mercenaries who have more than parted the veil.\r\n\r\nThey have torn it down and used it as a cape.	게이트키퍼 마녀는 당신이 생각하는 마녀, 드루이드, 마법사, 혹은 수천 년에 걸쳐 쌓인 다양한 이름 중 그 어떠한 것도 아니다. 그들은 예언자이자 전사이며, 단순히 장막을 걷어낸 것이 아닌, \r\n\r\n장막을 찢어 망토로 두른 신비의 용병이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	33818	GKWitch_KillRequirementSection_SectionText	Humanity is rife with adepts, most of whom are blithely unaware of their talents. Some note a tendency to anticipate the general outline of events, or sooth with the tone of their voice, and suspect there may be more to existance. Others run into initiates of one kind or another, who assist them to cultivate those talents.\r\n\r\nRarer are those who, cultivating those talents, seek out the deepest fonts of knowledge. Some find their way to The GATE Cascade Synaptic Labs, where they are taught the origins of their abilities, and receive training and enhancement from myriad realms, becoming something a little more than human.	인류는 재능을 지닌 자들로 넘쳐나지만, 대부분은 자신이 가진 능력을 자각하지 못한 채 살아간다. 어떤 이들은 사건의 흐름을 막연하게나마 예측하거나, 음성만으로도 타인을 진정시키는 능력을 지니고 있으며, 그로 인해 존재를 넘어선 것에 대한 의문을 품기도 한다. 또 어떤 이들은 다양한 전승자들을 만나 자신의 능력을 키울 기회를 얻게 된다. \r\n\r\n하지만 재능을 키우면서 지식의 깊은 원천을 찾는 사람들은 드물다. 일부는 GATE 캐스케이드 시냅스 연구소에 도착해, 그곳에서 자신이 가진 능력의 기원을 배우고, 다양한 영역에서 훈련과 강화를 받아 인간을 다소 넘어서는 존재로 거듭난다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	34527	Offices_Title	Office Sector	사무 구역
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	34589	Offices_Subtitle	Administration and Management	행정 및 관리
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	34712	Offices_Sections_Index0_SectionText	The Office Sector is the GATE Cascade Research Facility's main center of administration, and comprises 12 levels, as well as several repurposed silos. Once used for storing gas, water and ore, these immense spaces now house key perforation research systems.	사무 구역은 GATE 캐스케이드 연구 시설의 주요 행정 구역이며, 12개 층과 재사용된 사일로로 구성되어 있다. 한때, 가스, 물, 광석 등을 저장하던 이 거대한 공간들은 이제 주요한 천공 연구 시스템을 수용하고 있다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	35097	Manufacturing_Title	Manufacturing West	서부 제조 구역
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	35170	Manufacturing_Subtitle	Engineering and Fabrication	공학 및 제작
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	35297	Manufacturing_Sections_Index0_SectionText	The industrial heart of the GATE Cascade Research Facility, the Manufacturing Sector is responsible for designing and engineering all research equipment and machinery for study within the facility - as well as fabricating technical and specialist tools for other GATE facilities.\r\n\r\nIt is here the facility's origins as a decommissioned lithium mine are most clearly visible.	GATE 캐스케이드 시설의 산업 중추인 제조 구역은, 시설 내 연구를 위한 모든 연구 장비 및 기계를 설계하고 제작한다. 또한 타 GATE 시설을 위해 특수한 도구를 제작하기도 한다.\r\n\r\n시설의 기반이 된 폐쇄된 리튬 광산이 가장 두드러지게 보이는 곳이기도 하다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	35791	Labs_Title	Cascade Laboratories	캐스케이드 연구소
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	35857	Labs_Subtitle	Advanced Study and Containment	첨단 연구 및 격리
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	35978	Labs_Sections_Index0_SectionText	Labs Sector is the epicenter of the GATE Cascade Research Facility's research into advanced technology, as well as anomalies, xenoforms, paranormal phenomenon, arcane entities and artefacts of note.\r\n\r\nProviding secure immurment for entities rated up to Thela level, Labs is divided into various sub-sectors focused variously on containment, advanced studies and field research.	연구 구역은 GATE 캐스케이드 연구시설의 첨단 기술, 이상 현상, 외계 생물체, 초자연 현상, 신비한 존재, 그리고 주목할 만한 유물에 대한 연구의 중심지다.\r\n\r\n텔라 등급까지의 개체들을 수용하는 이곳은, 격리, 첨단 연구, 그리고 현장 조사 등에 중점을 둔 여러 하위 부서로 나뉜다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	36479	Security_Title	Security Sector	보안 구역
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	36544	Security_Subtitle	Cascade Defense Sector	캐스케이드 방어 구역
