AbioticFactor/Content/Blueprints/Environment/Special/MapPamphletBox_BP.uasset	783Bh		TAKE A MAP	지도 얻기
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623616		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623746		COLD STORAGE	저온 보관실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623881		COLD STORAGE	저온 보관실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5624016		LASER LAB	레이저 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5624148		CELLULAR LAB	세포 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5624283		LASER LAB	레이저 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5624415		COLD STORAGE	저온 보관실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5624550		CELLULAR LAB	세포 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5624685		SCANNING	스캔실
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2487426		HELMHOLTZ LIFT	헬름홀츠 승강기
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2487565		CONTROL CENTER	관제 센터
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2487726		CONTROL LIFT	관제 승강기
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2487861		CONTROL LIFT	관제 승강기
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2487996		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2488130		CONTROL LIFT	관제 승강기
AbioticFactor/Content/Maps/Facility_Labs_Control.umap	2488265		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_MFFoundry.umap	857875		MANUFACTURING EAST	동부 제조 구역
AbioticFactor/Content/Maps/Facility_MFFoundry.umap	858040		MANUFACTURING	제조 구역
AbioticFactor/Content/Maps/Facility_MFFoundry.umap	858178		MANUFACTURING EAST	동부 제조 구역
AbioticFactor/Content/Maps/Facility_MFFoundry.umap	858343		SYNCHROTRON	싱크로트론
AbioticFactor/Content/Maps/Facility_MFMines.umap	5631718		SITE OFFICE	형장 사무실
AbioticFactor/Content/Maps/Facility_MFMines.umap	5632142		CHECK-IN	체크인
AbioticFactor/Content/Maps/Facility_MFMines.umap	5632273		CHECK-IN	체크인
AbioticFactor/Content/Maps/Facility_MFMines.umap	5632404		CHECK-IN	체크인
AbioticFactor/Content/Maps/Facility_MFMines.umap	5632535		OLD MINES	옛 광산
AbioticFactor/Content/Maps/Facility_MFWest.umap	7804328		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_MFWest.umap	7804463		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7804599		FLOW CONTROL	유량 제어
AbioticFactor/Content/Maps/Facility_MFWest.umap	7804734		GARAGE	차고
AbioticFactor/Content/Maps/Facility_MFWest.umap	7804863		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7804999		SECURITY	보안
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805130		CARGO DISTRICT	화물 지구
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805267		TOOL DEPOT	도구 보관소
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805400		TOOL DEPOT	도구 보관소
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805533		TOOL DEPOT	도구 보관소
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805666		MAINT. OFFICE	정비 사무실
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805802		TOILETS	화장실
AbioticFactor/Content/Maps/Facility_MFWest.umap	7805932		ROADWAY LIMA	진입로 리마
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806067		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806202		CONTROL TOWER	관제탑
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806338		MAINT. OFFICE	정비 사무실
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806474		CONTROL TOWER	관제탑
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806610		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806745		LOT OVERSIGHT	구역 관리소
AbioticFactor/Content/Maps/Facility_MFWest.umap	7806881		CONTAINER LOT	저장소 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807017		SHIP. LOGISTICS	물류지
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807155		GARAGE	차고
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807284		ALLOY HANDLING	합금 처리 시설
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807421		SYNCHROTRON	싱크로트론
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807555		GARAGE	차고
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807684		ALLOY HANDLING	합금 처리 시설
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807821		KITCHEN	주방
AbioticFactor/Content/Maps/Facility_MFWest.umap	7807951		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808081		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808216		GARAGE	차고
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808345		CONTROL TOWER	관제탑
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808481		SHIP. LOGISTICS	물류지
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808619		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808755		KITCHEN	주방
AbioticFactor/Content/Maps/Facility_MFWest.umap	7808885		SYNCHROTRON	싱크로트론
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809019		INSPECTION	검사실
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809152		INSPECTION	검사실
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809285		SHIP. LOGISTICS	물류지
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809423		RAILWAY	철로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809553		CONTAINER LOT	저장소 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809689		OVERFLOW	오버플로우
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809821		ALLOY HANDLING	합금 처리 시설
AbioticFactor/Content/Maps/Facility_MFWest.umap	7809958		INSPECTION	검사실
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810091		LOT OVERSIGHT	구역 관리소
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810227		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810357		TRAM ACCESS	트램 접근로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810491		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810621		CONTROL TOWER	관제탑
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810757		FLOW CONTROL	유량 제어
AbioticFactor/Content/Maps/Facility_MFWest.umap	7810892		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811022		CONTROL TOWER	관제탑
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811158		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811293		LOT OVERSIGHT	구역 관리소
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811429		FLOW CONTROL	유량 제어
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811566		SHIPPING	물류 배송지
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811721		UPPER SHIPPING	고층 접근로
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811858		MINE ENTRANCE B	광산 입구 B
AbioticFactor/Content/Maps/Facility_MFWest.umap	7811996		MAPPING CENTER	지도 제작 센터
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812133		MAPPING CENTER	지도 제작 센터
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812270		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812406		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812542		MINE ENTRANCE B	광산 입구 B
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812680		CHECK-IN	체크인
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812811		SHIPPING	물류 배송지
AbioticFactor/Content/Maps/Facility_MFWest.umap	7812942		GARAGE	차고
AbioticFactor/Content/Maps/Facility_Office1.umap	5007896		SERVER ROOM O1	서버실 01
AbioticFactor/Content/Maps/Facility_Office1.umap	5008033		FLOW TRANSIT	유체 운반실
AbioticFactor/Content/Maps/Facility_Office1.umap	5008168		SECURITY OFFICE	보안 초소
AbioticFactor/Content/Maps/Facility_Office1.umap	5008306		GYM & POOL	체육실 & 수영장
AbioticFactor/Content/Maps/Facility_Office1.umap	5008439		LEVEL 2	2층
AbioticFactor/Content/Maps/Facility_Office1.umap	5008569		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility_Office1.umap	5008701		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Office1.umap	5008836		STORAGE	창고
AbioticFactor/Content/Maps/Facility_Office1.umap	5008966		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_Office1.umap	5009102		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility_Office1.umap	5009234		KITCHEN	주방
AbioticFactor/Content/Maps/Facility_Office1.umap	5009364		SECURITY SEC.	보안 구역
AbioticFactor/Content/Maps/Facility_Office1.umap	5009500		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility_Office1.umap	5009632		WILDLIFE PENS	야생 동물 우리
AbioticFactor/Content/Maps/Facility_Office1.umap	5009768		SERVER ROOM 01	서버실 01
AbioticFactor/Content/Maps/Facility_Office1.umap	5009905		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_Office1.umap	5010041		CAFETERIA	구내식당
AbioticFactor/Content/Maps/Facility_Office1.umap	5010173		MANUFACTURING	제조 구역
AbioticFactor/Content/Maps/Facility_Office1.umap	5010309		LOWER ACCESS	저층 접근로
AbioticFactor/Content/Maps/Facility_Office1.umap	5010444		MANUFACTURING	제조 구역
AbioticFactor/Content/Maps/Facility_Office1.umap	5010580		LIFT ACCESS	승강기 접근로
AbioticFactor/Content/Maps/Facility_Office1.umap	5010714		TRAM PLAZA	트램 광장
AbioticFactor/Content/Maps/Facility_Office1.umap	5010847		PUBLIC TERMINAL	공공 터미널
AbioticFactor/Content/Maps/Facility_Office1.umap	5010985		LEVEL 2	2층
AbioticFactor/Content/Maps/Facility_Office1.umap	5011115		TRAM - B SIDE	트램 - 역방향
AbioticFactor/Content/Maps/Facility_Office1.umap	5011251		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility_Office2.umap	5698734		L1 TRAM PLAZA	1층 트램 광장
AbioticFactor/Content/Maps/Facility_Office2.umap	5698870		SECURITY OFFICE	보안 초소
AbioticFactor/Content/Maps/Facility_Office2.umap	5699008		RESIDENCE TRAM	주거 구역 트램
AbioticFactor/Content/Maps/Facility_Office2.umap	5699145		LEVEL 3 LIFT	3층 승강기
AbioticFactor/Content/Maps/Facility_Office2.umap	5699280		LOCKER ROOM	락커룸
AbioticFactor/Content/Maps/Facility_Office2.umap	5699414		SECTOR MAP	구역 안내 지도
AbioticFactor/Content/Maps/Facility_Office2.umap	5699547		LOCKER ROOM	락커룸
AbioticFactor/Content/Maps/Facility_Office2.umap	5699681		KITCHEN	주방
AbioticFactor/Content/Maps/Facility_Office2.umap	5699811		BIO LAB D	생물학 연구실 D
AbioticFactor/Content/Maps/Facility_Office2.umap	5699943		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility_Office2.umap	5700075		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility_Office2.umap	5700207		MANUFACTURING	제조 구역
AbioticFactor/Content/Maps/Facility_Office2.umap	5700343		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility_Office2.umap	5700475		RESIDENCE TRAM	주거 구역 트램
AbioticFactor/Content/Maps/Facility_Office2.umap	5700612		BIO LAB D	생물학 연구실 D
AbioticFactor/Content/Maps/Facility_Office2.umap	5700744		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility_Office2.umap	5700876		BIO LAB D	생물학 연구실 D
AbioticFactor/Content/Maps/Facility_Office2.umap	5701008		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility_Office2.umap	5701140		RESIDENCES	주거 구역
AbioticFactor/Content/Maps/Facility_Office2.umap	5701273		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility_Office2.umap	5701405		BIO LAB D	생물학 연구실 D
AbioticFactor/Content/Maps/Facility_Office2.umap	5701537		DATA FARM	데이터 저장소
